Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
IDCJAC0009,33195,2010,01,01,2.2,1,N
IDCJAC0009,33195,2010,01,02,0.0,1,N
IDCJAC0009,33195,2010,01,03,0.0,1,N
IDCJAC0009,33195,2010,01,04,0.2,1,N
IDCJAC0009,33195,2010,01,05,1.4,1,N
IDCJAC0009,33195,2010,01,06,0.0,1,N
IDCJAC0009,33195,2010,01,07,2.8,1,N
IDCJAC0009,33195,2010,01,08,20.8,1,N
IDCJAC0009,33195,2010,01,09,17.6,1,N
IDCJAC0009,33195,2010,01,10,2.0,1,N
IDCJAC0009,33195,2010,01,11,0.0,1,N
IDCJAC0009,33195,2010,01,12,0.0,1,N
IDCJAC0009,33195,2010,01,13,0.0,1,N
IDCJAC0009,33195,2010,01,14,0.0,1,N
IDCJAC0009,33195,2010,01,15,0.0,1,N
IDCJAC0009,33195,2010,01,16,0.0,1,N
IDCJAC0009,33195,2010,01,17,0.0,1,N
IDCJAC0009,33195,2010,01,18,0.0,1,N
IDCJAC0009,33195,2010,01,19,0.0,1,N
IDCJAC0009,33195,2010,01,20,0.0,1,N
IDCJAC0009,33195,2010,01,21,0.0,1,N
IDCJAC0009,33195,2010,01,22,0.0,1,N
IDCJAC0009,33195,2010,01,23,0.0,1,N
IDCJAC0009,33195,2010,01,24,0.0,1,N
IDCJAC0009,33195,2010,01,25,21.6,1,N
IDCJAC0009,33195,2010,01,26,7.0,1,N
IDCJAC0009,33195,2010,01,27,0.0,1,N
IDCJAC0009,33195,2010,01,28,0.0,1,N
IDCJAC0009,33195,2010,01,29,0.0,1,N
IDCJAC0009,33195,2010,01,30,0.0,1,N
IDCJAC0009,33195,2010,01,31,53.8,1,N
IDCJAC0009,33195,2010,02,01,138.2,1,N
IDCJAC0009,33195,2010,02,02,2.2,1,N
IDCJAC0009,33195,2010,02,03,64.6,1,N
IDCJAC0009,33195,2010,02,04,12.4,1,N
IDCJAC0009,33195,2010,02,05,0.0,1,N
IDCJAC0009,33195,2010,02,06,58.6,1,N
IDCJAC0009,33195,2010,02,07,0.4,1,N
IDCJAC0009,33195,2010,02,08,0.2,1,N
IDCJAC0009,33195,2010,02,09,27.4,1,N
IDCJAC0009,33195,2010,02,10,4.6,1,N
IDCJAC0009,33195,2010,02,11,1.8,1,N
IDCJAC0009,33195,2010,02,12,1.2,1,N
IDCJAC0009,33195,2010,02,13,0.2,1,N
IDCJAC0009,33195,2010,02,14,1.6,1,N
IDCJAC0009,33195,2010,02,15,8.2,1,N
IDCJAC0009,33195,2010,02,16,15.0,1,N
IDCJAC0009,33195,2010,02,17,9.0,1,N
IDCJAC0009,33195,2010,02,18,52.4,1,N
IDCJAC0009,33195,2010,02,19,10.0,1,N
IDCJAC0009,33195,2010,02,20,120.0,1,N
IDCJAC0009,33195,2010,02,21,41.2,1,N
IDCJAC0009,33195,2010,02,22,0.2,1,N
IDCJAC0009,33195,2010,02,23,0.6,1,N
IDCJAC0009,33195,2010,02,24,1.8,1,N
IDCJAC0009,33195,2010,02,25,0.2,1,N
IDCJAC0009,33195,2010,02,26,24.4,1,N
IDCJAC0009,33195,2010,02,27,0.2,1,N
IDCJAC0009,33195,2010,02,28,1.4,1,N
IDCJAC0009,33195,2010,03,01,1.4,1,N
IDCJAC0009,33195,2010,03,02,8.4,1,N
IDCJAC0009,33195,2010,03,03,3.6,1,N
IDCJAC0009,33195,2010,03,04,4.4,1,N
IDCJAC0009,33195,2010,03,05,0.0,1,N
IDCJAC0009,33195,2010,03,06,0.0,1,N
IDCJAC0009,33195,2010,03,07,4.0,1,N
IDCJAC0009,33195,2010,03,08,11.6,1,N
IDCJAC0009,33195,2010,03,09,1.4,1,N
IDCJAC0009,33195,2010,03,10,0.2,1,N
IDCJAC0009,33195,2010,03,11,0.0,1,N
IDCJAC0009,33195,2010,03,12,1.0,1,N
IDCJAC0009,33195,2010,03,13,3.0,1,N
IDCJAC0009,33195,2010,03,14,3.0,1,N
IDCJAC0009,33195,2010,03,15,1.0,1,N
IDCJAC0009,33195,2010,03,16,0.0,1,N
IDCJAC0009,33195,2010,03,17,1.0,1,N
IDCJAC0009,33195,2010,03,18,4.0,1,N
