Product code,Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,Quality
IDCJAC0010,87163,2010,01,01,18.4,1,Y
IDCJAC0010,87163,2010,01,02,24.1,1,Y
IDCJAC0010,87163,2010,01,03,20.0,1,Y
IDCJAC0010,87163,2010,01,04,22.9,1,Y
IDCJAC0010,87163,2010,01,05,22.9,1,Y
IDCJAC0010,87163,2010,01,06,21.8,1,Y
IDCJAC0010,87163,2010,01,07,22.1,1,Y
IDCJAC0010,87163,2010,01,08,37.9,1,Y
IDCJAC0010,87163,2010,01,09,33.0,1,Y
IDCJAC0010,87163,2010,01,10,27.2,1,Y
IDCJAC0010,87163,2010,01,11,44.9,1,Y
IDCJAC0010,87163,2010,01,12,33.0,1,Y
IDCJAC0010,87163,2010,01,13,20.9,1,Y
IDCJAC0010,87163,2010,01,14,21.1,1,Y
IDCJAC0010,87163,2010,01,15,22.6,1,Y
IDCJAC0010,87163,2010,01,16,26.4,1,Y
IDCJAC0010,87163,2010,01,17,21.6,1,Y
IDCJAC0010,87163,2010,01,18,19.0,1,Y
IDCJAC0010,87163,2010,01,19,22.4,1,Y
IDCJAC0010,87163,2010,01,20,27.6,1,Y
IDCJAC0010,87163,2010,01,21,23.8,1,Y
IDCJAC0010,87163,2010,01,22,37.9,1,Y
IDCJAC0010,87163,2010,01,23,20.5,1,Y
IDCJAC0010,87163,2010,01,24,20.2,1,Y
IDCJAC0010,87163,2010,01,25,21.5,1,Y
IDCJAC0010,87163,2010,01,26,23.8,1,Y
IDCJAC0010,87163,2010,01,27,20.1,1,Y
IDCJAC0010,87163,2010,01,28,23.9,1,Y
IDCJAC0010,87163,2010,01,29,21.6,1,Y
IDCJAC0010,87163,2010,01,30,28.8,1,Y
IDCJAC0010,87163,2010,01,31,38.9,1,Y
IDCJAC0010,87163,2010,02,01,21.4,1,Y
IDCJAC0010,87163,2010,02,02,32.0,1,Y
IDCJAC0010,87163,2010,02,03,32.0,1,Y
IDCJAC0010,87163,2010,02,04,31.2,1,Y
IDCJAC0010,87163,2010,02,05,20.8,1,Y
IDCJAC0010,87163,2010,02,06,22.8,1,Y
IDCJAC0010,87163,2010,02,07,27.5,1,Y
IDCJAC0010,87163,2010,02,08,29.2,1,Y
IDCJAC0010,87163,2010,02,09,26.2,1,Y
IDCJAC0010,87163,2010,02,10,28.9,1,Y
IDCJAC0010,87163,2010,02,11,27.2,1,Y
IDCJAC0010,87163,2010,02,12,21.2,1,Y
IDCJAC0010,87163,2010,02,13,21.6,1,Y
IDCJAC0010,87163,2010,02,14,24.5,1,Y
IDCJAC0010,87163,2010,02,15,23.5,1,Y
IDCJAC0010,87163,2010,02,16,23.7,1,Y
IDCJAC0010,87163,2010,02,17,23.7,1,Y
IDCJAC0010,87163,2010,02,18,22.5,1,Y
IDCJAC0010,87163,2010,02,19,34.5,1,Y
IDCJAC0010,87163,2010,02,20,36.1,1,Y
IDCJAC0010,87163,2010,02,21,28.1,1,Y
IDCJAC0010,87163,2010,02,22,27.1,1,Y
IDCJAC0010,87163,2010,02,23,21.8,1,Y
IDCJAC0010,87163,2010,02,24,21.0,1,Y
IDCJAC0010,87163,2010,02,25,22.7,1,Y
IDCJAC0010,87163,2010,02,26,35.1,1,Y
IDCJAC0010,87163,2010,02,27,20.5,1,Y
IDCJAC0010,87163,2010,02,28,19.1,1,Y
IDCJAC0010,87163,2010,03,01,19.3,1,Y
IDCJAC0010,87163,2010,03,02,20.6,1,Y
IDCJAC0010,87163,2010,03,03,24.4,1,Y
IDCJAC0010,87163,2010,03,04,33.9,1,Y
IDCJAC0010,87163,2010,03,05,28.0,1,Y
IDCJAC0010,87163,2010,03,06,24.2,1,Y
IDCJAC0010,87163,2010,03,07,24.9,1,Y
IDCJAC0010,87163,2010,03,08,23.7,1,Y
IDCJAC0010,87163,2010,03,09,19.3,1,Y
IDCJAC0010,87163,2010,03,10,18.9,1,Y
IDCJAC0010,87163,2010,03,11,20.2,1,Y
IDCJAC0010,87163,2010,03,12,22.3,1,Y
IDCJAC0010,87163,2010,03,13,25.0,1,Y
IDCJAC0010,87163,2010,03,14,28.2,1,Y
IDCJAC0010,87163,2010,03,15,30.1,1,Y
IDCJAC0010,87163,2010,03,16,32.1,1,Y
IDCJAC0010,87163,2010,03,17,32.5,1,Y
IDCJAC0010,87163,2010,03,18,26.8,1,Y
IDCJAC0010,87163,2010,03,19,28.2,1,Y
IDCJAC0010,87163,2010,03,20,25.9,1,Y
IDCJAC0010,87163,2010,03,21,23.0,1,Y
IDCJAC0010,87163,2010,03,22,21.4,1,Y
IDCJAC0010,87163,2010,03,23,22.6,1,Y
IDCJAC0010,87163,2010,03,24,22.0,1,Y
IDCJAC0010,87163,2010,03,25,31.8,1,Y
IDCJAC0010,87163,2010,03,26,25.1,1,Y
IDCJAC0010,87163,2010,03,27,19.5,1,Y
IDCJAC0010,87163,2010,03,28,25.1,1,Y
IDCJAC0010,87163,2010,03,29,20.4,1,Y
IDCJAC0010,87163,2010,03,30,20.4,1,Y
IDCJAC0010,87163,2010,03,31,20.7,1,Y
IDCJAC0010,87163,2010,04,01,21.6,1,Y
IDCJAC0010,87163,2010,04,02,19.4,1,Y
IDCJAC0010,87163,2010,04,03,21.2,1,Y
IDCJAC0010,87163,2010,04,04,23.4,1,Y
IDCJAC0010,87163,2010,04,05,27.1,1,Y
IDCJAC0010,87163,2010,04,06,25.2,1,Y
IDCJAC0010,87163,2010,04,07,24.4,1,Y
IDCJAC0010,87163,2010,04,08,21.3,1,Y
IDCJAC0010,87163,2010,04,09,20.0,1,Y
IDCJAC0010,87163,2010,04,10,22.3,1,Y
IDCJAC0010,87163,2010,04,11,16.3,1,Y
IDCJAC0010,87163,2010,04,12,18.7,1,Y
IDCJAC0010,87163,2010,04,13,16.9,1,Y
IDCJAC0010,87163,2010,04,14,17.1,1,Y
IDCJAC0010,87163,2010,04,15,19.1,1,Y
IDCJAC0010,87163,2010,04,16,23.4,1,Y
IDCJAC0010,87163,2010,04,17,28.2,1,Y
IDCJAC0010,87163,2010,04,18,25.3,1,Y
IDCJAC0010,87163,2010,04,19,26.8,1,Y
IDCJAC0010,87163,2010,04,20,30.2,1,Y
IDCJAC0010,87163,2010,04,21,23.3,1,Y
IDCJAC0010,87163,2010,04,22,29.4,1,Y
IDCJAC0010,87163,2010,04,23,23.5,1,Y
IDCJAC0010,87163,2010,04,24,20.7,1,Y
